{3.0431748216308396e-17 586.3827}
{3.09317482163084e-17 542.7916}
{3.14317482163084e-17 504.0245}
{3.19317482163084e-17 469.81089999999995}
{3.2431748216308404e-17 439.8919}
{3.2931748216308406e-17 414.02009999999996}
{3.343174821630841e-17 391.96410000000003}
{3.393174821630841e-17 373.504}
{3.443174821630841e-17 358.43039999999996}
{3.4931748216308414e-17 346.54510000000005}
{3.5431748216308415e-17 337.66240000000005}
{3.593174821630842e-17 331.60600000000005}
{3.643174821630842e-17 328.2085}
{3.693174821630842e-17 327.3124}
{3.7431748216308423e-17 328.7685}
{3.7931748216308425e-17 332.4375}
{3.843174821630843e-17 338.1866}
{3.893174821630843e-17 345.8913}
{3.943174821630843e-17 355.43199999999996}
{3.9931748216308433e-17 366.69840000000005}
