AsGrown,,3min,,6min,,10min,,15min,
X,Y,X,Y,X,Y,X,Y,X,Y
26.02895231632668,38010945783647715000,,,,,,,,
31.097440790692232,42550570535982890000,38.109436692006206,42813776121984510000,26.861876044550364,40129430805207510000,28.26137320892022,37962926569809330000,24.95933256273885,33739616416888766000
35.249645130309425,42550570535982890000,42.68555300318446,42419575155478460000,34.03065335448037,40352768066142400000,31.438738588386812,38518774191939215000,29.153327580087037,34579785239353400000
38.68142402450449,42813776121984510000,47.88875349145696,40932788030364460000,38.725050996761674,40585690040117870000,36.62583910705897,36787573245823406000,33.34738690346921,35344149617639220000
45.79953697363694,42725860520641080000,52.03076308693077,37740119650951650000,42.87833259985428,38769457895066330000,40.40059637708091,37353349501705570000,37.54219811278727,34989288887091044000
50.407490817507316,42223837846401810000,56.22854226704845,32933704980960805000,47.07393526805223,37110707828107620000,44.78729184521092,35107178147397915000,41.738394375145155,32657923951283890000
54.31665462383621,41189285052216250000,60.428102229645866,26644633585018126000,51.271002135178,33379806795967380000,48.984081701728705,31951652785979900000,45.93482807516701,30175856778162897000
58.514275512177896,36186217206509314000,64.43952845919844,19360034695011647000,55.46953320123156,28212623329198727000,53.22468320424233,27350897637893628000,50.13217195290073,26824483357283303000
62.71284615117545,30533207853039206000,70.20576504155986,8588140640079282000,59.47843071966289,22825097009680683000,56.04781263182499,21592817648807457000,54.32939711180247,23965932564175550000
66.34336696560217,21793477593079656000,73.23784936085147,5927928297377870000,67.08139313741498,12274141758859905000,62.804097402732644,16149855321713213000,58.52808646963202,20120203593711694000
68.25586798944633,16977026221512782000,76.2980251199557,3945892956332910000,71.13060493299176,9050878141135037000,66.92525742733511,14306818423243490000,62.72535120147774,17945887227150422000
69.22633112420408,8190393187036078000,79.29716785731154,2359689548022114300,74.76048268707859,6639171333569147000,71.07809658292888,11119207724877197000,66.92447586169123,14790012260946029000
69.99934109760628,5273332061917070000,81.71149997944218,1489250597547423500,77.78058886174105,4798544033949911000,75.78424859874988,8499113471239397000,71.12217589592092,12949907284081388000
70.71097343487276,3095232644287340000,84.34203228559679,847778926607893400,81.32379065614552,3192155415522875000,79.90784433805524,6788779805224732000,75.32141927496636,10618888198956982000
71.01533686172422,1857559785352081400,87.21375049480787,513841203443869600,84.45850676632838,1959421611111653400,84.10799789481257,5355559291473249000,79.5209990240358,8583867555123016000
