Distance,3min,3min_sim,6min,6min_sim,10min,10min_sim,15min,15min_sim,50min_sim,100min_sim,200min_sim,
3.50000e+01,1.96179e+01,1.96283e+01,1.96065e+01,1.96168e+01,1.95722e+01,1.95933e+01,1.95467e+01,1.95610e+01,1.93964e+01,1.92709e+01,1.91334e+01,
3.52713e+01,1.96191e+01,1.96283e+01,1.96066e+01,1.96168e+01,1.95711e+01,1.95933e+01,1.95464e+01,1.95610e+01,1.93964e+01,1.92709e+01,1.91334e+01,
3.60112e+01,1.96224e+01,1.96282e+01,1.96070e+01,1.96166e+01,1.95682e+01,1.95930e+01,1.95457e+01,1.95608e+01,1.93963e+01,1.92708e+01,1.91334e+01,
3.67176e+01,1.96256e+01,1.96280e+01,1.96074e+01,1.96163e+01,1.95660e+01,1.95926e+01,1.95449e+01,1.95603e+01,1.93961e+01,1.92707e+01,1.91333e+01,
3.72315e+01,1.96278e+01,1.96278e+01,1.96077e+01,1.96159e+01,1.95669e+01,1.95921e+01,1.95444e+01,1.95598e+01,1.93958e+01,1.92706e+01,1.91333e+01,
3.77906e+01,1.96303e+01,1.96276e+01,1.96080e+01,1.96153e+01,1.95679e+01,1.95914e+01,1.95423e+01,1.95592e+01,1.93955e+01,1.92704e+01,1.91331e+01,
3.85078e+01,1.96313e+01,1.96271e+01,1.96084e+01,1.96145e+01,1.95691e+01,1.95903e+01,1.95374e+01,1.95581e+01,1.93949e+01,1.92700e+01,1.91330e+01,
3.92338e+01,1.96307e+01,1.96266e+01,1.96061e+01,1.96134e+01,1.95704e+01,1.95889e+01,1.95322e+01,1.95567e+01,1.93942e+01,1.92696e+01,1.91328e+01,
3.99166e+01,1.96301e+01,1.96260e+01,1.96029e+01,1.96121e+01,1.95716e+01,1.95874e+01,1.95274e+01,1.95552e+01,1.93934e+01,1.92692e+01,1.91325e+01,
4.06437e+01,1.96295e+01,1.96252e+01,1.95994e+01,1.96106e+01,1.95710e+01,1.95855e+01,1.95221e+01,1.95534e+01,1.93924e+01,1.92686e+01,1.91322e+01,
4.11619e+01,1.96290e+01,1.96246e+01,1.95969e+01,1.96094e+01,1.95679e+01,1.95840e+01,1.95184e+01,1.95519e+01,1.93916e+01,1.92682e+01,1.91320e+01,
4.17138e+01,1.96285e+01,1.96238e+01,1.95943e+01,1.96079e+01,1.95646e+01,1.95823e+01,1.95143e+01,1.95502e+01,1.93907e+01,1.92677e+01,1.91317e+01,
4.23966e+01,1.96279e+01,1.96227e+01,1.95910e+01,1.96059e+01,1.95604e+01,1.95799e+01,1.95089e+01,1.95479e+01,1.93895e+01,1.92670e+01,1.91314e+01,
4.31237e+01,1.96264e+01,1.96213e+01,1.95875e+01,1.96035e+01,1.95559e+01,1.95771e+01,1.95031e+01,1.95451e+01,1.93881e+01,1.92662e+01,1.91309e+01,
4.37694e+01,1.96245e+01,1.96199e+01,1.95846e+01,1.96012e+01,1.95519e+01,1.95743e+01,1.94979e+01,1.95425e+01,1.93867e+01,1.92654e+01,1.91305e+01,
4.43638e+01,1.96227e+01,1.96185e+01,1.95820e+01,1.95988e+01,1.95482e+01,1.95716e+01,1.94930e+01,1.95398e+01,1.93853e+01,1.92646e+01,1.91301e+01,
4.50466e+01,1.96207e+01,1.96167e+01,1.95789e+01,1.95959e+01,1.95431e+01,1.95683e+01,1.94873e+01,1.95366e+01,1.93837e+01,1.92637e+01,1.91296e+01,
4.57737e+01,1.96185e+01,1.96145e+01,1.95756e+01,1.95924e+01,1.95362e+01,1.95644e+01,1.94812e+01,1.95329e+01,1.93817e+01,1.92626e+01,1.91290e+01,
4.62919e+01,1.96170e+01,1.96127e+01,1.95732e+01,1.95898e+01,1.95313e+01,1.95615e+01,1.94757e+01,1.95301e+01,1.93803e+01,1.92618e+01,1.91286e+01,
4.68438e+01,1.96153e+01,1.96107e+01,1.95707e+01,1.95868e+01,1.95260e+01,1.95582e+01,1.94692e+01,1.95270e+01,1.93787e+01,1.92608e+01,1.91281e+01,
4.75266e+01,1.96133e+01,1.96079e+01,1.95649e+01,1.95828e+01,1.95193e+01,1.95538e+01,1.94611e+01,1.95229e+01,1.93766e+01,1.92596e+01,1.91274e+01,
4.82537e+01,1.96092e+01,1.96045e+01,1.95572e+01,1.95782e+01,1.95120e+01,1.95489e+01,1.94523e+01,1.95182e+01,1.93742e+01,1.92583e+01,1.91267e+01,
4.87719e+01,1.96049e+01,1.96019e+01,1.95516e+01,1.95747e+01,1.95068e+01,1.95452e+01,1.94459e+01,1.95147e+01,1.93724e+01,1.92573e+01,1.91262e+01,
4.93238e+01,1.96003e+01,1.95989e+01,1.95456e+01,1.95707e+01,1.94996e+01,1.95410e+01,1.94390e+01,1.95109e+01,1.93705e+01,1.92562e+01,1.91256e+01,
4.98338e+01,1.95960e+01,1.95958e+01,1.95399e+01,1.95669e+01,1.94919e+01,1.95370e+01,1.94325e+01,1.95072e+01,1.93686e+01,1.92551e+01,1.91250e+01,
5.03069e+01,1.95919e+01,1.95928e+01,1.95346e+01,1.95631e+01,1.94847e+01,1.95332e+01,1.94268e+01,1.95036e+01,1.93668e+01,1.92541e+01,1.91245e+01,
5.09037e+01,1.95868e+01,1.95887e+01,1.95278e+01,1.95581e+01,1.94754e+01,1.95281e+01,1.94201e+01,1.94989e+01,1.93644e+01,1.92527e+01,1.91238e+01,
5.14219e+01,1.95823e+01,1.95849e+01,1.95212e+01,1.95535e+01,1.94671e+01,1.95235e+01,1.94142e+01,1.94947e+01,1.93623e+01,1.92515e+01,1.91231e+01,
5.19738e+01,1.95774e+01,1.95805e+01,1.95122e+01,1.95484e+01,1.94582e+01,1.95184e+01,1.94079e+01,1.94901e+01,1.93599e+01,1.92502e+01,1.91224e+01,
