600C 20 sec	
[nm]	[atom/cm3]
0.09	1.067E+20
0.20	2.657E+19
0.32	1.192E+19
0.44	6.897E+18
0.56	7.533E+18
0.67	6.873E+18
0.79	6.766E+18
0.91	5.010E+18
1.02	5.699E+18
1.14	5.318E+18
1.26	4.464E+18
1.38	3.713E+18
1.49	3.979E+18
1.61	3.077E+18
1.73	2.335E+18
1.84	2.171E+18
1.96	2.369E+18
2.08	2.201E+18
2.20	1.361E+18
2.31	1.664E+18
2.43	1.249E+18
2.55	1.561E+18
2.67	1.323E+18
2.78	1.082E+18
2.90	1.519E+18
3.02	1.152E+18
3.13	7.836E+17
3.25	1.100E+18
3.37	7.264E+17
3.49	6.668E+17
3.60	1.296E+18
3.72	1.237E+18
3.84	1.114E+18
3.95	8.632E+17
4.07	1.566E+18
4.19	1.504E+18
4.31	9.972E+17
4.42	1.060E+18
4.54	1.189E+18
4.66	1.256E+18
4.78	1.132E+18
4.89	8.124E+17
5.01	1.455E+18
5.13	1.521E+18
5.24	1.136E+18
5.36	1.144E+18
5.48	1.279E+18
5.60	8.874E+17
5.71	9.532E+17
5.83	1.611E+18
5.95	1.087E+18
6.07	1.540E+18
6.18	9.575E+17
6.30	1.420E+18
6.42	1.424E+18
6.53	1.484E+18
6.65	1.612E+18
6.77	1.221E+18
6.89	1.880E+18
7.00	1.625E+18
7.12	1.229E+18
7.24	1.823E+18
7.35	1.959E+18
7.47	1.697E+18
7.59	1.702E+18
7.71	1.904E+18
7.82	2.370E+18
7.94	1.374E+18
8.06	2.779E+18
8.18	2.641E+18
8.29	2.105E+18
8.41	2.439E+18
8.53	2.040E+18
8.64	2.913E+18
8.76	1.841E+18
8.88	2.104E+18
9.00	1.973E+18
9.11	2.120E+18
9.23	2.805E+18
9.35	2.397E+18
9.46	2.584E+18
9.58	2.247E+18
9.70	3.269E+18
9.82	1.725E+18
9.93	2.665E+18
10.05	3.283E+18
10.17	2.744E+18
10.29	2.476E+18
10.40	2.943E+18
10.52	2.668E+18
10.64	3.498E+18
10.75	3.646E+18
10.87	2.891E+18
10.99	3.220E+18
11.11	2.600E+18
11.22	3.206E+18
11.34	2.939E+18
11.46	3.756E+18
11.57	3.851E+18
11.69	3.851E+18
11.81	4.111E+18
11.93	3.492E+18
12.04	4.443E+18
12.16	4.293E+18
12.28	4.501E+18
12.40	5.347E+18
12.51	4.798E+18
12.63	4.462E+18
12.75	4.120E+18
12.86	4.662E+18
12.98	4.814E+18
13.10	4.347E+18
13.22	4.009E+18
13.33	6.048E+18
13.45	5.432E+18
13.57	4.527E+18
13.69	5.888E+18
13.80	5.979E+18
13.92	6.171E+18
14.04	5.289E+18
14.15	5.571E+18
14.27	6.253E+18
14.39	5.783E+18
14.51	6.230E+18
14.62	5.943E+18
14.74	5.860E+18
14.86	7.438E+18
14.97	7.974E+18
15.09	5.731E+18
15.21	7.862E+18
15.33	9.164E+18
15.44	8.627E+18
15.56	7.657E+18
15.68	7.732E+18
15.80	8.513E+18
15.91	8.291E+18
16.03	9.402E+18
16.15	8.960E+18
16.26	1.130E+19
16.38	1.070E+19
16.50	1.015E+19
16.62	9.488E+18
16.73	1.156E+19
16.85	1.001E+19
16.97	9.588E+18
17.08	1.198E+19
17.20	1.171E+19
17.32	1.281E+19
17.44	1.245E+19
17.55	1.369E+19
17.67	1.490E+19
17.79	1.482E+19
17.91	1.364E+19
18.02	1.319E+19
18.14	1.373E+19
18.26	1.585E+19
18.37	1.684E+19
18.49	1.553E+19
18.61	1.678E+19
18.73	1.620E+19
18.84	1.677E+19
18.96	1.675E+19
19.08	1.706E+19
19.20	1.760E+19
19.31	1.884E+19
19.43	1.983E+19
19.55	2.030E+19
19.66	1.732E+19
19.78	2.047E+19
19.90	1.920E+19
20.02	2.370E+19
20.13	2.310E+19
20.25	2.432E+19
20.37	2.139E+19
20.48	2.420E+19
20.60	2.406E+19
20.72	2.396E+19
20.84	2.421E+19
20.95	2.595E+19
21.07	2.547E+19
21.19	2.620E+19
21.31	2.930E+19
21.42	2.543E+19
21.54	2.767E+19
21.66	3.212E+19
21.77	3.012E+19
21.89	3.046E+19
22.01	3.090E+19
22.13	3.395E+19
22.24	3.181E+19
22.36	3.237E+19
22.48	3.616E+19
22.59	3.845E+19
22.71	3.231E+19
22.83	3.344E+19
22.95	3.545E+19
23.06	3.854E+19
23.18	3.651E+19
23.30	3.380E+19
23.42	4.157E+19
23.53	4.087E+19
23.65	4.117E+19
23.77	4.011E+19
23.88	3.942E+19
24.00	4.669E+19
24.12	4.407E+19
24.24	4.515E+19
24.35	5.048E+19
24.47	4.813E+19
24.59	5.505E+19
24.70	5.279E+19
24.82	5.386E+19
24.94	5.363E+19
25.06	6.370E+19
25.17	6.605E+19
25.29	6.911E+19
25.41	7.168E+19
25.53	7.798E+19
25.64	8.413E+19
25.76	8.607E+19
25.88	8.814E+19
25.99	9.377E+19
26.11	1.006E+20
26.23	1.065E+20
26.35	1.200E+20
26.46	1.208E+20
26.58	1.354E+20
26.70	1.483E+20
26.82	1.575E+20
26.93	1.681E+20
27.05	1.812E+20
27.17	2.002E+20
27.28	2.132E+20
27.40	2.440E+20
27.52	2.676E+20
27.64	2.987E+20
27.75	3.402E+20
27.87	3.788E+20
27.99	4.286E+20
28.10	4.705E+20
28.22	5.269E+20
28.34	5.950E+20
28.46	6.352E+20
28.57	7.009E+20
28.69	7.345E+20
28.81	7.922E+20
28.93	8.288E+20
29.04	8.707E+20
29.16	8.862E+20
29.28	9.046E+20
29.39	9.033E+20
29.51	8.918E+20
29.63	8.725E+20
29.75	8.371E+20
29.86	7.894E+20
29.98	7.622E+20
30.10	7.202E+20
30.21	6.670E+20
30.33	6.026E+20
30.45	5.764E+20
30.57	5.183E+20
30.68	4.635E+20
30.80	4.172E+20
30.92	3.784E+20
31.04	3.299E+20
31.15	2.858E+20
31.27	2.579E+20
31.39	2.316E+20
31.50	1.961E+20
31.62	1.708E+20
31.74	1.465E+20
31.86	1.275E+20
31.97	1.120E+20
32.09	9.462E+19
32.21	7.888E+19
32.33	7.045E+19
32.44	6.117E+19
32.56	5.279E+19
32.68	4.475E+19
32.79	3.898E+19
32.91	3.048E+19
33.03	2.811E+19
33.15	2.361E+19
33.26	2.056E+19
33.38	1.915E+19
33.50	1.498E+19
33.61	1.299E+19
33.73	1.083E+19
33.85	9.772E+18
33.97	8.345E+18
34.08	7.914E+18
34.20	6.155E+18
34.32	6.144E+18
34.44	5.651E+18
34.55	5.076E+18
34.67	3.300E+18
34.79	3.797E+18
34.90	2.636E+18
35.02	2.322E+18
35.14	2.367E+18
35.26	2.098E+18
35.37	2.340E+18
35.49	2.291E+18
35.61	2.175E+18
35.72	1.782E+18
35.84	1.720E+18
35.96	1.544E+18
36.08	1.437E+18
36.19	1.503E+18
36.31	1.462E+18
36.43	1.522E+18
36.55	1.475E+18
36.66	1.195E+18
36.78	9.090E+17
36.90	8.266E+17
37.01	9.440E+17
37.13	1.057E+18
37.25	1.154E+18
37.37	9.837E+17
37.48	9.543E+17
37.60	9.482E+17
37.72	8.408E+17
37.83	6.876E+17
37.95	7.579E+17
38.07	1.073E+18
38.19	1.101E+18
38.30	9.074E+17
38.42	5.807E+17
38.54	8.973E+17
38.66	1.132E+18
38.77	1.244E+18
38.89	1.016E+18
39.01	8.846E+17
39.12	7.291E+17
39.24	6.853E+17
39.36	6.876E+17
39.48	6.776E+17
39.59	6.914E+17
39.71	6.250E+17
39.83	4.201E+17
39.95	4.796E+17
40.06	5.889E+17
40.18	8.510E+17
40.30	1.027E+18
40.41	1.200E+18
40.53	1.007E+18
40.65	6.200E+17
40.77	7.900E+17
40.88	1.105E+18
41.00	1.338E+18
41.12	9.304E+17
41.23	7.052E+17
41.35	8.021E+17
41.47	9.800E+17
41.59	9.824E+17
41.70	6.531E+17
41.82	5.913E+17
41.94	2.935E+17
42.06	5.051E+17
42.17	5.172E+17
42.29	6.049E+17
42.41	4.624E+17
