Depth[nm]	C[atom/cm3]
7.16933E-02	1.29757E+19
2.13571E-01	1.48798E+18
3.55448E-01	3.66220E+17
4.97325E-01	4.90804E+17
6.39203E-01	7.39972E+17
7.81080E-01	2.41636E+17
9.22957E-01	1.17052E+17
1.06483E+00	8.00000E+16
1.20671E+00	8.00000E+16
1.34859E+00	8.00000E+16
1.49047E+00	8.00000E+16
1.63234E+00	1.17052E+17
1.77422E+00	1.17052E+17
1.91610E+00	1.17052E+17
2.05798E+00	3.66220E+17
2.19985E+00	2.41636E+17
2.34173E+00	8.00000E+16
2.48361E+00	8.00000E+16
2.62549E+00	8.00000E+16
2.76736E+00	3.66220E+17
2.90924E+00	2.41636E+17
3.05112E+00	2.41636E+17
3.19299E+00	8.00000E+16
3.33487E+00	1.17052E+17
3.47675E+00	2.41636E+17
3.61863E+00	8.00000E+16
3.76050E+00	8.00000E+16
3.90238E+00	3.66220E+17
4.04426E+00	8.00000E+16
4.18614E+00	2.41636E+17
4.32801E+00	4.90804E+17
4.46989E+00	1.17052E+17
4.61177E+00	1.17052E+17
4.75365E+00	8.00000E+16
4.89552E+00	2.41636E+17
5.03740E+00	3.66220E+17
5.17928E+00	3.66220E+17
5.32116E+00	8.00000E+16
5.46303E+00	3.66220E+17
5.60491E+00	2.41636E+17
5.74679E+00	3.66220E+17
5.88866E+00	3.66220E+17
6.03054E+00	6.15388E+17
6.17242E+00	8.00000E+16
6.31430E+00	7.40472E+17
6.45617E+00	6.15388E+17
6.59805E+00	6.15388E+17
6.73993E+00	6.15388E+17
6.88181E+00	1.17052E+17
7.02368E+00	6.15888E+17
7.16556E+00	1.36339E+18
7.30744E+00	9.89140E+17
7.44931E+00	8.64556E+17
7.59119E+00	1.11422E+18
7.73307E+00	1.23881E+18
7.87495E+00	6.15388E+17
8.01682E+00	7.39972E+17
8.15870E+00	1.48748E+18
8.30058E+00	1.11422E+18
8.44246E+00	9.89140E+17
8.58433E+00	9.90141E+17
8.72621E+00	7.39972E+17
8.86809E+00	1.36289E+18
9.00997E+00	7.39972E+17
9.15184E+00	9.89140E+17
9.29372E+00	1.36339E+18
9.43560E+00	1.36339E+18
9.57748E+00	1.17052E+17
9.71935E+00	1.23831E+18
9.86123E+00	1.86173E+18
1.00031E+01	1.61206E+18
1.01450E+01	2.11090E+18
1.02869E+01	1.23831E+18
1.04287E+01	1.11422E+18
1.05706E+01	1.73714E+18
1.07125E+01	1.36289E+18
1.08544E+01	1.98631E+18
1.09962E+01	1.73815E+18
1.11381E+01	8.64556E+17
1.12800E+01	1.48748E+18
1.14219E+01	2.35956E+18
1.15638E+01	1.23831E+18
